text_id,text_content,category,context
1,你踏进老板办公室，汇报今日工作进展。虽是例行公事，但每次交流都在微妙地影响着你的职场命运。,work,老板交互
2,作为职级2的你，向老板详细介绍今天的工作内容。责任在增加，期望也在提升。,work,老板交互
3,职级3的身份让你在汇报工作时更加从容，你开始理解什么是专业的沟通方式。,work,老板交互
55,你沉浸在代码的世界里，指尖在键盘上舞蹈。每一行代码都是向完美的微小步进，虽然疲惫，但内心充实。,work,编程工作
56,你靠在椅背上，望着屏幕发呆。有时候，什么都不做也是一种智慧——给大脑一些空白的时间。,life,休息
121,你拉上窗帘，关闭手机，让身体在黑暗中彻底放松。8小时的深度睡眠后，你感觉重新获得了生命力。,life,睡眠
132,你在公园的小径上慢慢踱步，呼吸着新鲜空气。城市的喧嚣在这里变得遥远，心灵得到了片刻的宁静。,life,锻炼
166,你感到身体开始发出疲劳的信号，是时候注意休息了。健康是革命的本钱，不要忽视身体的警告。,warning,疲劳警告
167,极度的疲劳让你几乎无法集中注意力，身体和精神都在抗议这种过度的消耗。,warning,疲劳警告
168,你的身体已经到达了极限，如果再不休息，后果将不堪设想。工作永远做不完，但身体只有一个。,warning,疲劳极限
169,恭喜！你的专业能力和项目贡献得到了认可，顺利晋升为职级2。新的征程开始了。,achievement,职级提升
193,本周的薪水到账了。虽然工作辛苦，但看到银行卡余额的增长，还是有一种踏实的满足感。,life,薪水发放
194,又到了交房租的时候。虽然是固定支出，但拥有一个属于自己的空间，这笔钱花得值得。,life,房租支付
501,你静静地坐着，回顾自己的人生轨迹。在这个瞬息万变的世界里，自省是保持清醒的重要方式。,philosophy,深度自省
502,你观察着周围的人群，每个人都有自己的故事和追求。生活如此丰富多彩，让人感慨万千。,philosophy,观察人生 
